dataset,refinement,elements,jm_dofs,h1_dofs,basis,smoother,h1,damping,iterations,residual,converged,moment_assembly_s,vertex_assembly_s,basis_map_s,aux_setup_s,smoother_setup_s,solve_median_s,apply_median_s
square_random,0,32,320,75,moment,macro,unsplit,1,19,3.60083432e-09,1,0.000820923,0.004332572,0.000183185,0.002320291,0.000216567,0.000766921,3.3252e-05
square_random,0,32,320,75,moment,split,unsplit,1,26,6.78306041e-09,1,0.000820923,0.004332572,0.000183185,0.002320291,3.0818e-05,0.000871088,2.7973e-05
square_random,0,32,320,75,vertex,jacobi,unsplit,1,35,6.1444192e-09,1,0.000820923,0.004332572,0.000183185,0.002320291,3.91e-07,0.000997204,2.4596e-05
square_random,0,32,320,75,vertex,macro,unsplit,1,19,3.60074009e-09,1,0.000820923,0.004332572,0.000183185,0.002320291,0.000168166,0.000799443,3.5256e-05
square_random,0,32,320,75,vertex,split,unsplit,1,26,6.78306041e-09,1,0.000820923,0.004332572,0.000183185,0.002320291,2.6129e-05,0.000864805,2.7933e-05
square_random,0,32,320,171,moment,jacobi,split,1,47,7.36838182e-09,1,0.000820923,0.004332572,0.000183185,0.002255729,7.11e-07,0.001402265,2.3053e-05
square_random,0,32,320,171,moment,macro,split,1,19,5.43968451e-09,1,0.000820923,0.004332572,0.000183185,0.002255729,0.000156764,0.000784754,3.3633e-05
square_random,0,32,320,171,moment,split,split,1,25,7.00019138e-09,1,0.000820923,0.004332572,0.000183185,0.002255729,2.9675e-05,0.000919047,2.9435e-05
square_random,0,32,320,171,vertex,jacobi,split,1,34,6.02283871e-09,1,0.000820923,0.004332572,0.000183185,0.002255729,4.01e-07,0.001078817,2.5558e-05
square_random,0,32,320,171,vertex,macro,split,1,19,5.43921931e-09,1,0.000820923,0.004332572,0.000183185,0.002255729,0.000119334,0.000864775,3.6518e-05
square_random,0,32,320,171,vertex,split,split,1,25,7.00019138e-09,1,0.000820923,0.004332572,0.000183185,0.002255729,3.731e-05,0.000902817,3.2751e-05
square_random,1,128,1216,243,moment,jacobi,unsplit,1,77,8.04910636e-09,1,0.002979871,0.017401182,0.000705215,0.007973695,9.32e-07,0.011621741,0.000141776
square_random,1,128,1216,243,moment,macro,unsplit,1,22,2.90014717e-09,1,0.002979871,0.017401182,0.000705215,0.007973695,0.000794803,0.004450764,0.000182863
square_random,1,128,1216,243,moment,split,unsplit,1,31,5.91606305e-09,1,0.002979871,0.017401182,0.000705215,0.007973695,0.000148389,0.005535603,0.000164619
square_random,1,128,1216,243,vertex,jacobi,unsplit,1,42,9.58372472e-09,1,0.002979871,0.017401182,0.000705215,0.007973695,9.12e-07,0.006927389,0.000148008
